ticker;data;open;high;low;close;vol;series;name;reg_date;nomimal;currency;end_date;coup_type;coup_percent;payouts
RU000A0JTKJ5;2013-03-04;100.05;100.05;100.05;100.05;1193;ТРАНСКОНТЕЙНЕР-4-ОБ;процентные документарные на предъявителя неконвертируемые облигации с обязательным централизованным хранением серии 04;04.12.2012;1000;рубль;26.01.2018;пд;0.0835;2
RU000A0JTKJ5;2013-03-06;100.12;100.15;100.12;100.15;34999;ТРАНСКОНТЕЙНЕР-4-ОБ;процентные документарные на предъявителя неконвертируемые облигации с обязательным централизованным хранением серии 04;04.12.2012;1000;рубль;26.01.2018;пд;0.0835;2
RU000A0JTKJ5;2013-03-12;99.25;100.03;99.25;100.03;15900;ТРАНСКОНТЕЙНЕР-4-ОБ;процентные документарные на предъявителя неконвертируемые облигации с обязательным централизованным хранением серии 04;04.12.2012;1000;рубль;26.01.2018;пд;0.0835;2
RU000A0JTKJ5;2013-03-13;100.07;100.15;100.05;100.05;15900;ТРАНСКОНТЕЙНЕР-4-ОБ;процентные документарные на предъявителя неконвертируемые облигации с обязательным централизованным хранением серии 04;04.12.2012;1000;рубль;26.01.2018;пд;0.0835;2
RU000A0JTKJ5;2013-03-14;99.6;100.35;99.6;100.05;57003;ТРАНСКОНТЕЙНЕР-4-ОБ;процентные документарные на предъявителя неконвертируемые облигации с обязательным централизованным хранением серии 04;04.12.2012;1000;рубль;26.01.2018;пд;0.0835;2
RU000A0JTKJ5;2013-03-15;99.7;100.19;99.7;100.17;35502;ТРАНСКОНТЕЙНЕР-4-ОБ;процентные документарные на предъявителя неконвертируемые облигации с обязательным централизованным хранением серии 04;04.12.2012;1000;рубль;26.01.2018;пд;0.0835;2
RU000A0JTKJ5;2013-03-19;100.0;100.0;100.0;100.0;5000;ТРАНСКОНТЕЙНЕР-4-ОБ;процентные документарные на предъявителя неконвертируемые облигации с обязательным централизованным хранением серии 04;04.12.2012;1000;рубль;26.01.2018;пд;0.0835;2
RU000A0JTKJ5;2013-03-20;99.95;99.99;99.95;99.99;45000;ТРАНСКОНТЕЙНЕР-4-ОБ;процентные документарные на предъявителя неконвертируемые облигации с обязательным централизованным хранением серии 04;04.12.2012;1000;рубль;26.01.2018;пд;0.0835;2
RU000A0JTKJ5;2013-03-25;100.0;100.0;100.0;100.0;5000;ТРАНСКОНТЕЙНЕР-4-ОБ;процентные документарные на предъявителя неконвертируемые облигации с обязательным централизованным хранением серии 04;04.12.2012;1000;рубль;26.01.2018;пд;0.0835;2
RU000A0JTKJ5;2013-03-27;100.0;100.0;100.0;100.0;45400;ТРАНСКОНТЕЙНЕР-4-ОБ;процентные документарные на предъявителя неконвертируемые облигации с обязательным централизованным хранением серии 04;04.12.2012;1000;рубль;26.01.2018;пд;0.0835;2
